N	i2c	c2i
100	0.5366636787869665	0.2960652361337292
200	1.603020267403829	1.1695496284537388
300	3.1180292310429305	2.6048010208969123
400	5.845224980498953	5.151868679265933
500	9.695184952034264	8.6972958548301
600	16.479838654496184	14.493083970823696
700	21.50037462537464	19.834660202810884
800	30.616173210351302	27.73331120933862
900	38.89992712766686	37.32201018159924
1000	53.33583368686119	49.377506055588285
1100	68.32431267362766	64.19701873469013
1200	98.43191910828884	90.28847864464328
1300	107.04180237570631	103.22276182721392
1400	131.59759760787148	124.18014348665024
1500	164.22485904506397	159.2647506602985
1600	190.32829328206037	184.99608268443916
1700	223.10369425095473	216.1177007923584
1800	261.0153117430521	257.53065427722925
1900	304.59189782819925	298.78131286521636
2000	349.9916179710695	341.58487060884397
