N	i2c	c2i
100	0.00028246000000000103	0.00015916000000000264
200	0.0007049400000000039	0.0005285599999999945
300	0.0022717200000000105	0.0018782399999999976
400	0.005359709999999995	0.004780989999999996
500	0.007404160000000004	0.006607630000000008
600	0.011740919999999965	0.010294539999999996
700	0.017701360000000055	0.016685209999999995
800	0.024161299999999986	0.02179755000000001
900	0.03074881000000005	0.02931315999999997
1000	0.04397763000000001	0.040761069999999885
1100	0.054762660000000005	0.055236729999999935
1200	0.06850673999999994	0.06603011999999993
1300	0.08451308999999982	0.0807507000000001
1400	0.10423149000000001	0.10154048000000016
1500	0.13468903999999995	0.12655659000000002
1600	0.15260701000000018	0.14889816000000006
1700	0.19339198999999924	0.18431511999999942
1800	0.21119743	0.20759794000000015
1900	0.24588064999999942	0.23804418
2000	0.2798448600000004	0.27704287
