N	i2c	c2i
100	0.611075568267349	0.32403384286945924
200	1.7769046022470683	1.2676535792974144
300	3.597558263654155	2.647780301889891
400	5.721034102883417	5.459138464275452
500	10.03448606188333	9.325092715503686
600	15.760267130130135	13.806955031270101
700	22.340159840159878	20.974402310018746
800	30.659238022251678	29.418783271522965
900	41.88174838859775	39.24726814281616
1000	55.947306118538975	52.4677377417103
1100	71.49481511639047	68.88090505385031
1200	91.76213341453084	87.86769737112188
1300	111.92309402925841	107.33277852284724
1400	137.92346352277872	132.99675495737145
1500	168.14816176973738	161.2556108275287
1600	202.206611881269	194.63173812488907
1700	234.52035977720948	227.29068876329174
1800	276.83694729927595	267.7637858716622
1900	322.21656767889687	316.4765884800137
2000	383.29769545522936	364.47777393839044
