R	i2c	c2i
100	41.623102924472796	37.28078428420894
110	34.66122918177713	24.800926812913104
120	30.422146346803867	24.587698260643464
130	31.698695140475984	24.242923172717745
140	31.81895159634878	24.030678225883715
150	31.593834247943818	23.9061879900921
160	31.448517236188422	24.46650096478864
170	31.7100707511667	23.83810538776281
180	32.53796716981654	22.621214402036482
190	31.567790086625628	22.95431452109531
200	32.55323443679599	23.07940347323898
210	32.11257920162031	23.204791783558854
220	32.38572215455768	22.715298400229944
230	33.1657212650363	21.33110895953365
240	33.681087747868865	22.137152231330504
250	33.6481583485007	21.449355439081508
260	31.858937295581313	21.163896035471375
270	33.34880017243016	22.13864902221072
280	32.715101679142755	21.39602691828717
290	33.25129493793888	19.90877273411531
300	33.178465370246	18.7019316300141
310	32.07460347871294	19.913134810395228
320	32.97862240499221	20.877153668249626
330	33.78458014588155	19.257283812078718
340	35.316139340111796	19.510669125395097
350	33.86549238432828	18.12408481929033
360	32.91212212445096	19.28786111149119
370	33.71525734539418	18.797854542717474
380	32.97349055054557	18.10625162508721
390	32.104026110875594	17.992581049087875
400	32.16894406962929	17.78871813118421
410	33.8372671848699	17.59174045132994
420	32.964039385273125	17.057728230673774
430	33.24629137985333	16.748149111163357
440	33.19967703529372	16.456745309485044
450	32.56050456392856	16.549760171335492
460	35.17976030818453	16.225811859372996
470	33.831322786802076	14.757032351210242
480	34.458307103854935	14.82096670452826
490	32.19721203454142	15.410103595035096
